English,Hindi
Help!,बचाओ!
Jump.,कूदो।
Jump.,कूदो।
Jump.,कूदो।
Hello!,नमस्ते!
Hello!,नमस्ते!
Cheers!,चीयर्स!
Cheers!,चीयर्स!
Got it?,समझे?
I'm OK.,मैं ठीक हूँ।
Awesome!,शानदार!
Come in.,अंदर आओ।
Get out!,बाहर जाओ!
Go away!,दूर हटो!
Goodbye!,अलविदा!
Perfect!,बिल्कुल सही!
Perfect!,बिल्कुल सही!
Welcome.,स्वागत है।
Welcome.,स्वागत है।
Have fun.,मज़े करो।
Have fun.,मज़े करो।
Have fun.,मज़े करो।
I forgot.,मैं भूल गया।
I forgot.,मैं भूल गया।
I'll pay.,मैं भुगतान कर दूँगा।
I'm fine.,मैं ठीक हूँ।
I'm full.,मैं भर गया हूँ।
Let's go!,चलो चलते हैं!
Answer me.,मुझे जवाब दो।
Birds fly.,पक्षी उड़ते हैं।
Excuse me.,मुझे माफ़ कीजिये।
Fantastic!,शानदार!
I fear so.,मुझे डर है।
I laughed.,मैं हँसा।
I'm bored.,मैं बोर हो रहा हूँ।
I'm broke.,मैं कंगाल हूँ।
I'm tired.,मैं थक गया हूँ।
It's cold.,ठंड है।
Who knows?,कौन जानता है?
Who knows?,कौन जानता है?
Who knows?,कौन जानता है?
Who knows?,कौन जानता है?
Wonderful!,शानदार!
Birds sing.,पक्षी गाते हैं।
Come on in.,अंदर आ जाओ।
Definitely!,निश्चित रूप से!
Don't move.,हिलो मत।
Fire burns.,आग जलती है।
Follow him.,उसका अनुसरण करो।
I am tired.,मैं थक गया हूँ।
I can swim.,मैं तैर सकता हूँ।
I can swim.,मैं तैर सकता हूँ।
I love you.,मैं तुमसे प्यार करता हूँ।
I love you.,मैं तुमसे प्यार करता हूँ।
I love you.,मैं तुमसे प्यार करता हूँ।
I love you.,मैं तुमसे प्यार करता हूँ।
I love you.,मैं तुमसे प्यार करता हूँ।
I will try.,मैं कोशिश करूंगा।
I'm coming.,मैं आ रहा हूँ।
I'm hungry!,मैं भूखा हूँ!
I'm hungry!,मैं भूखा हूँ!
Let him in.,उसे अंदर आने दो।
Let him in.,उसे अंदर आने दो।
Let me out!,मुझे बाहर निकलने दो!
Once again.,एक बार फिर।
Please sit.,कृपया बैठिए।
What's new?,क्या नया है?
What's new?,क्या नया है?
Who's that?,वो कौन है?
Don't shout.,चिल्लाओ मत।
Don't shout.,चिल्लाओ मत।
He stood up.,वह खड़ा हो गया।
He's strong.,वह मजबूत है।
How are you?,तुम कैसे हो?
How are you?,तुम कैसे हो?
How are you?,तुम कैसे हो?
How are you?,तुम कैसे हो?
How are you?,तुम कैसे हो?
How are you?,तुम कैसे हो?
How are you?,तुम कैसे हो?
I am hungry.,मैं भूखा हूँ।
I like both.,मुझे दोनों पसंद हैं।
I like cake.,मुझे केक पसंद है।
I like dogs.,मुझे कुत्ते पसंद हैं।
